Kernel_ID,Usage_Count,Activity_Sum,Status
1,181706,63362.967292319845,Active
2,37781,7773.842762626345,Active
3,20642,3116.0439539901236,Active
4,31785,6445.2699024793865,Active
5,186082,50142.83363968537,Active
6,18046,3191.3923687035017,Active
7,21793,4881.727717172726,Active
8,27129,5469.432678071873,Active
9,81523,14320.615468561487,Active
10,81127,15843.842382355206,Active
11,185966,37215.0143152451,Active
12,16277,2361.0947139354485,Active
13,108307,68381.41747075692,Active
14,149255,36850.962674936956,Active
15,29714,6011.389040803972,Active
16,40645,6658.4142757375,Active
17,158104,51660.617085820515,Active
18,236784,68898.12809658356,Active
19,32675,6426.082035029176,Active
20,171013,62784.513927152926,Active
21,142691,30641.157590809762,Active
22,227439,34140.49891108215,Active
23,199114,48187.40990533799,Active
24,170149,45383.38897082749,Active
25,55127,8428.232858029274,Active
26,145962,42400.55280292343,Active
27,98940,20830.26922986032,Active
28,25881,5552.016908792281,Active
29,105821,71565.99794130868,Active
30,29380,6170.065069465471,Active
31,121064,26502.222243019063,Active
32,231150,79356.89287598648,Active
33,30420,5669.138404843469,Active
34,107527,21468.448998623833,Active
35,134062,22026.264085554845,Active
36,22695,3954.488579201256,Active
37,120591,92935.10129749886,Active
38,26466,4663.684424248274,Active
39,29489,5514.313989510838,Active
40,131475,54270.905155762644,Active
41,188208,63282.89162366749,Active
42,103421,80163.58999103052,Active
43,39969,8747.453202170118,Active
44,104702,22615.603794905524,Active
45,133433,84756.57697967457,Active
46,25277,3203.4090889071667,Active
47,24050,4260.19670968622,Active
48,114851,91536.3570142796,Active
49,46137,8687.305104147992,Active
50,201549,93834.41195658642,Active
51,38491,8573.559538876714,Active
52,19981,3439.5571409990134,Active
53,24751,4035.973813050437,Active
54,28085,6098.099590397722,Active
55,167288,47196.18934070433,Active
56,149749,105120.01288883892,Active
57,48244,9310.335026570485,Active
58,125016,58750.04652820458,Active
59,27094,6050.31884508601,Active
60,27643,5057.15281704104,Active
61,62897,12675.829652963179,Active
62,78077,15343.374979264383,Active
63,208732,134463.97811229446,Active
64,155098,41889.51525170262,Active
