path_wav	segments
/Users/pbadiger/Downloads/TIMIT16kHz/TRAIN/DR1/FCJF0/SA1.WAV	"[{""start"": 3050, ""end"": 44586}]"
/Users/pbadiger/Downloads/TIMIT16kHz/TRAIN/DR1/FCJF0/SA2.WAV	"[{""start"": 2260, ""end"": 33127}]"
/Users/pbadiger/Downloads/TIMIT16kHz/TRAIN/DR1/FCJF0/SI1027.WAV	"[{""start"": 1513, ""end"": 46581}]"
/Users/pbadiger/Downloads/TIMIT16kHz/TRAIN/DR1/FCJF0/SI1657.WAV	"[{""start"": 2120, ""end"": 43480}]"
/Users/pbadiger/Downloads/TIMIT16kHz/TRAIN/DR1/FCJF0/SI648.WAV	"[{""start"": 1507, ""end"": 55862}]"
/Users/pbadiger/Downloads/TIMIT16kHz/TRAIN/DR1/FCJF0/SX127.WAV	"[{""start"": 2231, ""end"": 22680}]"
/Users/pbadiger/Downloads/TIMIT16kHz/TRAIN/DR1/FCJF0/SX217.WAV	"[{""start"": 2879, ""end"": 25650}]"
/Users/pbadiger/Downloads/TIMIT16kHz/TRAIN/DR1/FCJF0/SX307.WAV	"[{""start"": 1960, ""end"": 20887}]"
/Users/pbadiger/Downloads/TIMIT16kHz/TRAIN/DR1/FCJF0/SX37.WAV	"[{""start"": 2260, ""end"": 33810}]"
/Users/pbadiger/Downloads/TIMIT16kHz/TRAIN/DR1/FCJF0/SX397.WAV	"[{""start"": 2240, ""end"": 37180}]"
/Users/pbadiger/Downloads/TIMIT16kHz/TRAIN/DR1/FDAW0/SA1.WAV	"[{""start"": 2230, ""end"": 51160}]"
/Users/pbadiger/Downloads/TIMIT16kHz/TRAIN/DR1/FDAW0/SA2.WAV	"[{""start"": 2180, ""end"": 41820}]"
/Users/pbadiger/Downloads/TIMIT16kHz/TRAIN/DR1/FDAW0/SI1271.WAV	"[{""start"": 2210, ""end"": 75443}]"
/Users/pbadiger/Downloads/TIMIT16kHz/TRAIN/DR1/FDAW0/SI1406.WAV	"[{""start"": 2000, ""end"": 38120}]"
/Users/pbadiger/Downloads/TIMIT16kHz/TRAIN/DR1/FDAW0/SI2036.WAV	"[{""start"": 3841, ""end"": 75081}]"
/Users/pbadiger/Downloads/TIMIT16kHz/TRAIN/DR1/FDAW0/SX146.WAV	"[{""start"": 2280, ""end"": 40201}]"
/Users/pbadiger/Downloads/TIMIT16kHz/TRAIN/DR1/FDAW0/SX236.WAV	"[{""start"": 2750, ""end"": 39140}]"
/Users/pbadiger/Downloads/TIMIT16kHz/TRAIN/DR1/FDAW0/SX326.WAV	"[{""start"": 2130, ""end"": 39140}]"
/Users/pbadiger/Downloads/TIMIT16kHz/TRAIN/DR1/FDAW0/SX416.WAV	"[{""start"": 2360, ""end"": 39360}]"
/Users/pbadiger/Downloads/TIMIT16kHz/TRAIN/DR1/FDAW0/SX56.WAV	"[{""start"": 2154, ""end"": 46280}]"
/Users/pbadiger/Downloads/TIMIT16kHz/TRAIN/DR1/FDML0/SA1.WAV	"[{""start"": 3000, ""end"": 50458}]"
/Users/pbadiger/Downloads/TIMIT16kHz/TRAIN/DR1/FDML0/SA2.WAV	"[{""start"": 631, ""end"": 38440}]"
/Users/pbadiger/Downloads/TIMIT16kHz/TRAIN/DR1/FDML0/SI1149.WAV	"[{""start"": 2230, ""end"": 56760}]"
/Users/pbadiger/Downloads/TIMIT16kHz/TRAIN/DR1/FDML0/SI1779.WAV	"[{""start"": 2138, ""end"": 37597}]"
/Users/pbadiger/Downloads/TIMIT16kHz/TRAIN/DR1/FDML0/SI2075.WAV	"[{""start"": 2185, ""end"": 23268}]"
/Users/pbadiger/Downloads/TIMIT16kHz/TRAIN/DR1/FDML0/SX159.WAV	"[{""start"": 2200, ""end"": 44900}]"
/Users/pbadiger/Downloads/TIMIT16kHz/TRAIN/DR1/FDML0/SX249.WAV	"[{""start"": 2360, ""end"": 31020}]"
/Users/pbadiger/Downloads/TIMIT16kHz/TRAIN/DR1/FDML0/SX339.WAV	"[{""start"": 790, ""end"": 39820}]"
/Users/pbadiger/Downloads/TIMIT16kHz/TRAIN/DR1/FDML0/SX429.WAV	"[{""start"": 2378, ""end"": 42920}]"
/Users/pbadiger/Downloads/TIMIT16kHz/TRAIN/DR1/FDML0/SX69.WAV	"[{""start"": 2280, ""end"": 39000}]"
/Users/pbadiger/Downloads/TIMIT16kHz/TRAIN/DR1/FECD0/SA1.WAV	"[{""start"": 2240, ""end"": 65319}]"
/Users/pbadiger/Downloads/TIMIT16kHz/TRAIN/DR1/FECD0/SA2.WAV	"[{""start"": 2370, ""end"": 46520}]"
/Users/pbadiger/Downloads/TIMIT16kHz/TRAIN/DR1/FECD0/SI1418.WAV	"[{""start"": 2260, ""end"": 78840}]"
/Users/pbadiger/Downloads/TIMIT16kHz/TRAIN/DR1/FECD0/SI2048.WAV	"[{""start"": 2410, ""end"": 37900}]"
/Users/pbadiger/Downloads/TIMIT16kHz/TRAIN/DR1/FECD0/SI788.WAV	"[{""start"": 9535, ""end"": 80350}]"
/Users/pbadiger/Downloads/TIMIT16kHz/TRAIN/DR1/FECD0/SX158.WAV	"[{""start"": 2250, ""end"": 36760}]"
/Users/pbadiger/Downloads/TIMIT16kHz/TRAIN/DR1/FECD0/SX248.WAV	"[{""start"": 2640, ""end"": 43409}]"
/Users/pbadiger/Downloads/TIMIT16kHz/TRAIN/DR1/FECD0/SX338.WAV	"[{""start"": 2190, ""end"": 49327}]"
/Users/pbadiger/Downloads/TIMIT16kHz/TRAIN/DR1/FECD0/SX428.WAV	"[{""start"": 2167, ""end"": 56788}]"
/Users/pbadiger/Downloads/TIMIT16kHz/TRAIN/DR1/FECD0/SX68.WAV	"[{""start"": 2120, ""end"": 44280}]"
/Users/pbadiger/Downloads/TIMIT16kHz/TRAIN/DR1/FETB0/SA1.WAV	"[{""start"": 2280, ""end"": 49203}]"
/Users/pbadiger/Downloads/TIMIT16kHz/TRAIN/DR1/FETB0/SA2.WAV	"[{""start"": 2088, ""end"": 42340}]"
/Users/pbadiger/Downloads/TIMIT16kHz/TRAIN/DR1/FETB0/SI1148.WAV	"[{""start"": 2255, ""end"": 38680}]"
/Users/pbadiger/Downloads/TIMIT16kHz/TRAIN/DR1/FETB0/SI1778.WAV	"[{""start"": 2200, ""end"": 54460}]"
/Users/pbadiger/Downloads/TIMIT16kHz/TRAIN/DR1/FETB0/SI518.WAV	"[{""start"": 2040, ""end"": 53880}]"
/Users/pbadiger/Downloads/TIMIT16kHz/TRAIN/DR1/FETB0/SX158.WAV	"[{""start"": 2046, ""end"": 33720}]"
/Users/pbadiger/Downloads/TIMIT16kHz/TRAIN/DR1/FETB0/SX248.WAV	"[{""start"": 3160, ""end"": 39240}]"
/Users/pbadiger/Downloads/TIMIT16kHz/TRAIN/DR1/FETB0/SX338.WAV	"[{""start"": 2120, ""end"": 49000}]"
/Users/pbadiger/Downloads/TIMIT16kHz/TRAIN/DR1/FETB0/SX428.WAV	"[{""start"": 2360, ""end"": 54120}]"
/Users/pbadiger/Downloads/TIMIT16kHz/TRAIN/DR1/FETB0/SX68.WAV	"[{""start"": 2172, ""end"": 40647}]"
/Users/pbadiger/Downloads/TIMIT16kHz/TRAIN/DR1/FJSP0/SA1.WAV	"[{""start"": 2360, ""end"": 49066}]"
/Users/pbadiger/Downloads/TIMIT16kHz/TRAIN/DR1/FJSP0/SA2.WAV	"[{""start"": 2353, ""end"": 39160}]"
/Users/pbadiger/Downloads/TIMIT16kHz/TRAIN/DR1/FJSP0/SI1434.WAV	"[{""start"": 4460, ""end"": 67880}]"
/Users/pbadiger/Downloads/TIMIT16kHz/TRAIN/DR1/FJSP0/SI1763.WAV	"[{""start"": 2170, ""end"": 16600}]"
/Users/pbadiger/Downloads/TIMIT16kHz/TRAIN/DR1/FJSP0/SI804.WAV	"[{""start"": 2300, ""end"": 37820}]"
/Users/pbadiger/Downloads/TIMIT16kHz/TRAIN/DR1/FJSP0/SX174.WAV	"[{""start"": 2300, ""end"": 58940}]"
