path_wav	segments
/Users/pbadiger/Downloads/TIMIT16kHz/TRAIN/DR1/FCJF0/SA2.WAV	"[{""start"": 2260, ""end"": 33127}]"
/Users/pbadiger/Downloads/TIMIT16kHz/TRAIN/DR1/FCJF0/SI1027.WAV	"[{""start"": 1513, ""end"": 46581}]"
/Users/pbadiger/Downloads/TIMIT16kHz/TRAIN/DR1/FCJF0/SI648.WAV	"[{""start"": 1507, ""end"": 55862}]"
/Users/pbadiger/Downloads/TIMIT16kHz/TRAIN/DR1/FCJF0/SX397.WAV	"[{""start"": 2240, ""end"": 37180}]"
/Users/pbadiger/Downloads/TIMIT16kHz/TRAIN/DR1/FDAW0/SI2036.WAV	"[{""start"": 3841, ""end"": 75081}]"
/Users/pbadiger/Downloads/TIMIT16kHz/TRAIN/DR1/FDAW0/SX236.WAV	"[{""start"": 2750, ""end"": 39140}]"
/Users/pbadiger/Downloads/TIMIT16kHz/TRAIN/DR1/FDAW0/SX326.WAV	"[{""start"": 2130, ""end"": 39140}]"
/Users/pbadiger/Downloads/TIMIT16kHz/TRAIN/DR1/FDAW0/SX416.WAV	"[{""start"": 2360, ""end"": 39360}]"
/Users/pbadiger/Downloads/TIMIT16kHz/TRAIN/DR1/FDML0/SA2.WAV	"[{""start"": 631, ""end"": 38440}]"
/Users/pbadiger/Downloads/TIMIT16kHz/TRAIN/DR1/FECD0/SA1.WAV	"[{""start"": 2240, ""end"": 65319}]"
/Users/pbadiger/Downloads/TIMIT16kHz/TRAIN/DR1/FECD0/SA2.WAV	"[{""start"": 2370, ""end"": 46520}]"
/Users/pbadiger/Downloads/TIMIT16kHz/TRAIN/DR1/FECD0/SI1418.WAV	"[{""start"": 2260, ""end"": 78840}]"
/Users/pbadiger/Downloads/TIMIT16kHz/TRAIN/DR1/FECD0/SI788.WAV	"[{""start"": 9535, ""end"": 80350}]"
/Users/pbadiger/Downloads/TIMIT16kHz/TRAIN/DR1/FECD0/SX248.WAV	"[{""start"": 2640, ""end"": 43409}]"
/Users/pbadiger/Downloads/TIMIT16kHz/TRAIN/DR1/FECD0/SX428.WAV	"[{""start"": 2167, ""end"": 56788}]"
/Users/pbadiger/Downloads/TIMIT16kHz/TRAIN/DR1/FECD0/SX68.WAV	"[{""start"": 2120, ""end"": 44280}]"
/Users/pbadiger/Downloads/TIMIT16kHz/TRAIN/DR1/FETB0/SA1.WAV	"[{""start"": 2280, ""end"": 49203}]"
/Users/pbadiger/Downloads/TIMIT16kHz/TRAIN/DR1/FETB0/SA2.WAV	"[{""start"": 2088, ""end"": 42340}]"
/Users/pbadiger/Downloads/TIMIT16kHz/TRAIN/DR1/FETB0/SI1148.WAV	"[{""start"": 2255, ""end"": 38680}]"
/Users/pbadiger/Downloads/TIMIT16kHz/TRAIN/DR1/FETB0/SX338.WAV	"[{""start"": 2120, ""end"": 49000}]"
/Users/pbadiger/Downloads/TIMIT16kHz/TRAIN/DR1/FETB0/SX68.WAV	"[{""start"": 2172, ""end"": 40647}]"
/Users/pbadiger/Downloads/TIMIT16kHz/TRAIN/DR1/FJSP0/SA1.WAV	"[{""start"": 2360, ""end"": 49066}]"
/Users/pbadiger/Downloads/TIMIT16kHz/TRAIN/DR1/FJSP0/SA2.WAV	"[{""start"": 2353, ""end"": 39160}]"
/Users/pbadiger/Downloads/TIMIT16kHz/TRAIN/DR1/FJSP0/SI1434.WAV	"[{""start"": 4460, ""end"": 67880}]"
/Users/pbadiger/Downloads/TIMIT16kHz/TRAIN/DR1/FJSP0/SX264.WAV	"[{""start"": 2160, ""end"": 41320}]"
/Users/pbadiger/Downloads/TIMIT16kHz/TRAIN/DR1/FJSP0/SX84.WAV	"[{""start"": 2240, ""end"": 51128}]"
/Users/pbadiger/Downloads/TIMIT16kHz/TRAIN/DR1/FKFB0/SA1.WAV	"[{""start"": 2372, ""end"": 53954}]"
/Users/pbadiger/Downloads/TIMIT16kHz/TRAIN/DR1/FKFB0/SA2.WAV	"[{""start"": 4570, ""end"": 47640}]"
/Users/pbadiger/Downloads/TIMIT16kHz/TRAIN/DR1/FKFB0/SI2238.WAV	"[{""start"": 2443, ""end"": 32040}]"
/Users/pbadiger/Downloads/TIMIT16kHz/TRAIN/DR1/FKFB0/SX168.WAV	"[{""start"": 1032, ""end"": 33838}]"
/Users/pbadiger/Downloads/TIMIT16kHz/TRAIN/DR1/FKFB0/SX258.WAV	"[{""start"": 2360, ""end"": 51616}]"
/Users/pbadiger/Downloads/TIMIT16kHz/TRAIN/DR1/FKFB0/SX348.WAV	"[{""start"": 2193, ""end"": 56780}]"
/Users/pbadiger/Downloads/TIMIT16kHz/TRAIN/DR1/FMEM0/SI1377.WAV	"[{""start"": 2000, ""end"": 57099}]"
/Users/pbadiger/Downloads/TIMIT16kHz/TRAIN/DR1/FMEM0/SI747.WAV	"[{""start"": 2000, ""end"": 44699}]"
/Users/pbadiger/Downloads/TIMIT16kHz/TRAIN/DR1/FMEM0/SX207.WAV	"[{""start"": 2350, ""end"": 31419}]"
/Users/pbadiger/Downloads/TIMIT16kHz/TRAIN/DR1/FMEM0/SX333.WAV	"[{""start"": 3520, ""end"": 79744}]"
/Users/pbadiger/Downloads/TIMIT16kHz/TRAIN/DR1/FSAH0/SA2.WAV	"[{""start"": 1960, ""end"": 41880}]"
/Users/pbadiger/Downloads/TIMIT16kHz/TRAIN/DR1/FSAH0/SI1244.WAV	"[{""start"": 2200, ""end"": 54040}]"
/Users/pbadiger/Downloads/TIMIT16kHz/TRAIN/DR1/FSAH0/SI614.WAV	"[{""start"": 7880, ""end"": 73000}]"
