session_test_id,name,trial_id,rating_stimulus,rating_score,rating_time,rating_comment
model_comparison_v1,1,audio_item_1,Opt_256,40,171966,
model_comparison_v1,1,audio_item_1,Opt_64_dropout,50,171966,
model_comparison_v1,1,audio_item_1,reference,100,171966,
model_comparison_v1,1,audio_item_1,Opt_32,40,171966,
model_comparison_v1,1,audio_item_1,Opt_128,40,171966,
model_comparison_v1,1,audio_item_2,reference,100,49006,
model_comparison_v1,1,audio_item_2,Opt_128,40,49006,
model_comparison_v1,1,audio_item_2,Opt_32,40,49006,
model_comparison_v1,1,audio_item_2,Opt_256,50,49006,
model_comparison_v1,1,audio_item_2,Opt_64_dropout,40,49006,
model_comparison_v1,1,audio_item_3,reference,100,38304,
model_comparison_v1,1,audio_item_3,Opt_256,50,38304,
model_comparison_v1,1,audio_item_3,Opt_128,40,38304,
model_comparison_v1,1,audio_item_3,Opt_64_dropout,45,38304,
model_comparison_v1,1,audio_item_3,Opt_32,40,38304,
model_comparison_v1,1,audio_item_4,Opt_64_dropout,50,32320,
model_comparison_v1,1,audio_item_4,Opt_128,50,32320,
model_comparison_v1,1,audio_item_4,Opt_256,65,32320,
model_comparison_v1,1,audio_item_4,reference,100,32320,
model_comparison_v1,1,audio_item_4,Opt_32,50,32320,
model_comparison_v1,1,audio_item_5,Opt_64_dropout,40,40262,
model_comparison_v1,1,audio_item_5,Opt_32,40,40262,
model_comparison_v1,1,audio_item_5,Opt_128,50,40262,
model_comparison_v1,1,audio_item_5,reference,100,40262,
model_comparison_v1,1,audio_item_5,Opt_256,55,40262,
model_comparison_v1,1,audio_item_6,reference,100,32500,
model_comparison_v1,1,audio_item_6,Opt_64_dropout,59,32500,
model_comparison_v1,1,audio_item_6,Opt_32,60,32500,
model_comparison_v1,1,audio_item_6,Opt_256,80,32500,
model_comparison_v1,1,audio_item_6,Opt_128,60,32500,
model_comparison_v1,1,audio_item_7,Opt_32,60,33571,
model_comparison_v1,1,audio_item_7,Opt_128,80,33571,
model_comparison_v1,1,audio_item_7,Opt_64_dropout,60,33571,
model_comparison_v1,1,audio_item_7,Opt_256,60,33571,
model_comparison_v1,1,audio_item_7,reference,100,33571,
model_comparison_v1,1,audio_item_8,Opt_32,55,37001,
model_comparison_v1,1,audio_item_8,reference,100,37001,
model_comparison_v1,1,audio_item_8,Opt_256,80,37001,
model_comparison_v1,1,audio_item_8,Opt_128,60,37001,
model_comparison_v1,1,audio_item_8,Opt_64_dropout,55,37001,
model_comparison_v1,2,audio_item_1,Opt_128,18,280948,
model_comparison_v1,2,audio_item_1,Opt_64_dropout,10,280948,
model_comparison_v1,2,audio_item_1,Opt_32,9,280948,
model_comparison_v1,2,audio_item_1,Opt_256,0,280948,
model_comparison_v1,2,audio_item_1,reference,100,280948,
model_comparison_v1,2,audio_item_2,Opt_64_dropout,13,37088,
model_comparison_v1,2,audio_item_2,reference,100,37088,
model_comparison_v1,2,audio_item_2,Opt_32,11,37088,
model_comparison_v1,2,audio_item_2,Opt_256,12,37088,
model_comparison_v1,2,audio_item_2,Opt_128,7,37088,
model_comparison_v1,2,audio_item_3,Opt_32,13,25717,
model_comparison_v1,2,audio_item_3,reference,86,25717,
model_comparison_v1,2,audio_item_3,Opt_64_dropout,13,25717,
model_comparison_v1,2,audio_item_3,Opt_256,14,25717,
model_comparison_v1,2,audio_item_3,Opt_128,9,25717,
model_comparison_v1,2,audio_item_4,Opt_64_dropout,34,21447,
model_comparison_v1,2,audio_item_4,reference,100,21447,
model_comparison_v1,2,audio_item_4,Opt_32,37,21447,
model_comparison_v1,2,audio_item_4,Opt_128,19,21447,
model_comparison_v1,2,audio_item_4,Opt_256,6,21447,
model_comparison_v1,2,audio_item_5,reference,100,18943,
model_comparison_v1,2,audio_item_5,Opt_32,16,18943,
model_comparison_v1,2,audio_item_5,Opt_128,15,18943,
model_comparison_v1,2,audio_item_5,Opt_256,14,18943,
model_comparison_v1,2,audio_item_5,Opt_64_dropout,6,18943,
model_comparison_v1,2,audio_item_6,Opt_128,33,18134,
model_comparison_v1,2,audio_item_6,reference,100,18134,
model_comparison_v1,2,audio_item_6,Opt_32,20,18134,
model_comparison_v1,2,audio_item_6,Opt_64_dropout,17,18134,
model_comparison_v1,2,audio_item_6,Opt_256,11,18134,
model_comparison_v1,2,audio_item_7,Opt_32,16,19786,
model_comparison_v1,2,audio_item_7,Opt_128,17,19786,
model_comparison_v1,2,audio_item_7,Opt_64_dropout,22,19786,
model_comparison_v1,2,audio_item_7,reference,79,19786,
model_comparison_v1,2,audio_item_7,Opt_256,9,19786,
model_comparison_v1,2,audio_item_8,Opt_32,12,16470,
model_comparison_v1,2,audio_item_8,Opt_128,16,16470,
model_comparison_v1,2,audio_item_8,Opt_256,14,16470,
model_comparison_v1,2,audio_item_8,reference,100,16470,
model_comparison_v1,2,audio_item_8,Opt_64_dropout,15,16470,
model_comparison_v1,3,audio_item_1,Opt_64_dropout,65,264838,
model_comparison_v1,3,audio_item_1,Opt_32,65,264838,
model_comparison_v1,3,audio_item_1,reference,100,264838,
model_comparison_v1,3,audio_item_1,Opt_256,64,264838,
model_comparison_v1,3,audio_item_1,Opt_128,65,264838,
model_comparison_v1,3,audio_item_2,reference,100,21977,
model_comparison_v1,3,audio_item_2,Opt_64_dropout,43,21977,
model_comparison_v1,3,audio_item_2,Opt_128,39,21977,
model_comparison_v1,3,audio_item_2,Opt_256,39,21977,
model_comparison_v1,3,audio_item_2,Opt_32,40,21977,
model_comparison_v1,3,audio_item_3,Opt_64_dropout,15,21733,
model_comparison_v1,3,audio_item_3,Opt_256,26,21733,
model_comparison_v1,3,audio_item_3,Opt_128,39,21733,
model_comparison_v1,3,audio_item_3,Opt_32,42,21733,
model_comparison_v1,3,audio_item_3,reference,100,21733,
model_comparison_v1,3,audio_item_4,Opt_32,49,33166,
model_comparison_v1,3,audio_item_4,reference,100,33166,
model_comparison_v1,3,audio_item_4,Opt_256,23,33166,
model_comparison_v1,3,audio_item_4,Opt_128,24,33166,
model_comparison_v1,3,audio_item_4,Opt_64_dropout,57,33166,
model_comparison_v1,3,audio_item_5,Opt_128,11,23664,
model_comparison_v1,3,audio_item_5,Opt_256,25,23664,
model_comparison_v1,3,audio_item_5,Opt_32,29,23664,
model_comparison_v1,3,audio_item_5,reference,100,23664,
model_comparison_v1,3,audio_item_5,Opt_64_dropout,39,23664,
model_comparison_v1,3,audio_item_6,reference,100,18829,
model_comparison_v1,3,audio_item_6,Opt_256,28,18829,
model_comparison_v1,3,audio_item_6,Opt_128,48,18829,
model_comparison_v1,3,audio_item_6,Opt_64_dropout,47,18829,
model_comparison_v1,3,audio_item_6,Opt_32,52,18829,
model_comparison_v1,3,audio_item_7,Opt_128,37,30621,
model_comparison_v1,3,audio_item_7,Opt_64_dropout,45,30621,
model_comparison_v1,3,audio_item_7,reference,100,30621,
model_comparison_v1,3,audio_item_7,Opt_32,48,30621,
model_comparison_v1,3,audio_item_7,Opt_256,46,30621,
model_comparison_v1,3,audio_item_8,reference,100,17648,
model_comparison_v1,3,audio_item_8,Opt_32,18,17648,
model_comparison_v1,3,audio_item_8,Opt_128,23,17648,
model_comparison_v1,3,audio_item_8,Opt_256,28,17648,
model_comparison_v1,3,audio_item_8,Opt_64_dropout,42,17648,
model_comparison_v1,4,audio_item_1,Opt_128,47,84416,
model_comparison_v1,4,audio_item_1,reference,100,84416,
model_comparison_v1,4,audio_item_1,Opt_256,35,84416,
model_comparison_v1,4,audio_item_1,Opt_64_dropout,43,84416,
model_comparison_v1,4,audio_item_1,Opt_32,53,84416,
model_comparison_v1,4,audio_item_2,Opt_32,59,30976,
model_comparison_v1,4,audio_item_2,Opt_128,51,30976,
model_comparison_v1,4,audio_item_2,Opt_256,47,30976,
model_comparison_v1,4,audio_item_2,reference,100,30976,
model_comparison_v1,4,audio_item_2,Opt_64_dropout,63,30976,
model_comparison_v1,4,audio_item_3,Opt_64_dropout,41,38153,
model_comparison_v1,4,audio_item_3,Opt_256,35,38153,
model_comparison_v1,4,audio_item_3,Opt_128,44,38153,
model_comparison_v1,4,audio_item_3,reference,100,38153,
model_comparison_v1,4,audio_item_3,Opt_32,46,38153,
model_comparison_v1,4,audio_item_4,Opt_256,40,61404,
model_comparison_v1,4,audio_item_4,reference,100,61404,
model_comparison_v1,4,audio_item_4,Opt_64_dropout,48,61404,
model_comparison_v1,4,audio_item_4,Opt_128,35,61404,
model_comparison_v1,4,audio_item_4,Opt_32,36,61404,
model_comparison_v1,4,audio_item_5,Opt_128,44,25548,
model_comparison_v1,4,audio_item_5,reference,100,25548,
model_comparison_v1,4,audio_item_5,Opt_64_dropout,37,25548,
model_comparison_v1,4,audio_item_5,Opt_256,47,25548,
model_comparison_v1,4,audio_item_5,Opt_32,53,25548,
model_comparison_v1,4,audio_item_6,reference,100,22540,
model_comparison_v1,4,audio_item_6,Opt_128,58,22540,
