path_wav	segments
/home/dimme/Documents/Databases/TIMIT16-8kHz/TIMIT16kHz/TRAIN/DR1/FCJF0/SA1.WAV	"[{""start"": 3616, ""end"": 46797}]"
/home/dimme/Documents/Databases/TIMIT16-8kHz/TIMIT16kHz/TRAIN/DR1/FCJF0/SA2.WAV	"[{""start"": 2080, ""end"": 34509}]"
/home/dimme/Documents/Databases/TIMIT16-8kHz/TIMIT16kHz/TRAIN/DR1/FCJF0/SI1027.WAV	"[{""start"": 1568, ""end"": 49460}]"
/home/dimme/Documents/Databases/TIMIT16-8kHz/TIMIT16kHz/TRAIN/DR1/FCJF0/SI1657.WAV	"[{""start"": 1568, ""end"": 45466}]"
/home/dimme/Documents/Databases/TIMIT16-8kHz/TIMIT16kHz/TRAIN/DR1/FCJF0/SI648.WAV	"[{""start"": 3104, ""end"": 57856}]"
/home/dimme/Documents/Databases/TIMIT16-8kHz/TIMIT16kHz/TRAIN/DR1/FCJF0/SX127.WAV	"[{""start"": 2080, ""end"": 24679}]"
/home/dimme/Documents/Databases/TIMIT16-8kHz/TIMIT16kHz/TRAIN/DR1/FCJF0/SX217.WAV	"[{""start"": 3104, ""end"": 27751}]"
/home/dimme/Documents/Databases/TIMIT16-8kHz/TIMIT16kHz/TRAIN/DR1/FCJF0/SX307.WAV	"[{""start"": 1568, ""end"": 23143}]"
/home/dimme/Documents/Databases/TIMIT16-8kHz/TIMIT16kHz/TRAIN/DR1/FCJF0/SX37.WAV	"[{""start"": 2080, ""end"": 36250}]"
/home/dimme/Documents/Databases/TIMIT16-8kHz/TIMIT16kHz/TRAIN/DR1/FCJF0/SX397.WAV	"[{""start"": 2592, ""end"": 39220}]"
/home/dimme/Documents/Databases/TIMIT16-8kHz/TIMIT16kHz/TRAIN/DR1/FDAW0/SA1.WAV	"[{""start"": 3616, ""end"": 53556}]"
/home/dimme/Documents/Databases/TIMIT16-8kHz/TIMIT16kHz/TRAIN/DR1/FDAW0/SA2.WAV	"[{""start"": 1568, ""end"": 42804}]"
/home/dimme/Documents/Databases/TIMIT16-8kHz/TIMIT16kHz/TRAIN/DR1/FDAW0/SI1271.WAV	"[{""start"": 2080, ""end"": 77824}]"
/home/dimme/Documents/Databases/TIMIT16-8kHz/TIMIT16kHz/TRAIN/DR1/FDAW0/SI1406.WAV	"[{""start"": 1568, ""end"": 40653}]"
/home/dimme/Documents/Databases/TIMIT16-8kHz/TIMIT16kHz/TRAIN/DR1/FDAW0/SI2036.WAV	"[{""start"": 3616, ""end"": 76698}]"
/home/dimme/Documents/Databases/TIMIT16-8kHz/TIMIT16kHz/TRAIN/DR1/FDAW0/SX146.WAV	"[{""start"": 2080, ""end"": 42087}]"
/home/dimme/Documents/Databases/TIMIT16-8kHz/TIMIT16kHz/TRAIN/DR1/FDAW0/SX236.WAV	"[{""start"": 3104, ""end"": 40141}]"
/home/dimme/Documents/Databases/TIMIT16-8kHz/TIMIT16kHz/TRAIN/DR1/FDAW0/SX326.WAV	"[{""start"": 4640, ""end"": 40416}]"
/home/dimme/Documents/Databases/TIMIT16-8kHz/TIMIT16kHz/TRAIN/DR1/FDAW0/SX416.WAV	"[{""start"": 1568, ""end"": 41780}]"
/home/dimme/Documents/Databases/TIMIT16-8kHz/TIMIT16kHz/TRAIN/DR1/FDAW0/SX56.WAV	"[{""start"": 2592, ""end"": 48436}]"
/home/dimme/Documents/Databases/TIMIT16-8kHz/TIMIT16kHz/TRAIN/DR1/FDML0/SA1.WAV	"[{""start"": 4128, ""end"": 52429}]"
/home/dimme/Documents/Databases/TIMIT16-8kHz/TIMIT16kHz/TRAIN/DR1/FDML0/SA2.WAV	"[{""start"": 2080, ""end"": 40960}]"
/home/dimme/Documents/Databases/TIMIT16-8kHz/TIMIT16kHz/TRAIN/DR1/FDML0/SI1149.WAV	"[{""start"": 2080, ""end"": 57959}]"
/home/dimme/Documents/Databases/TIMIT16-8kHz/TIMIT16kHz/TRAIN/DR1/FDML0/SI1779.WAV	"[{""start"": 1568, ""end"": 14816}, {""start"": 16416, ""end"": 40551}]"
/home/dimme/Documents/Databases/TIMIT16-8kHz/TIMIT16kHz/TRAIN/DR1/FDML0/SI2075.WAV	"[{""start"": 1568, ""end"": 25600}]"
/home/dimme/Documents/Databases/TIMIT16-8kHz/TIMIT16kHz/TRAIN/DR1/FDML0/SX159.WAV	"[{""start"": 2080, ""end"": 45876}]"
/home/dimme/Documents/Databases/TIMIT16-8kHz/TIMIT16kHz/TRAIN/DR1/FDML0/SX249.WAV	"[{""start"": 2080, ""end"": 31949}]"
/home/dimme/Documents/Databases/TIMIT16-8kHz/TIMIT16kHz/TRAIN/DR1/FDML0/SX339.WAV	"[{""start"": 2080, ""end"": 40960}]"
/home/dimme/Documents/Databases/TIMIT16-8kHz/TIMIT16kHz/TRAIN/DR1/FDML0/SX429.WAV	"[{""start"": 2080, ""end"": 44237}]"
/home/dimme/Documents/Databases/TIMIT16-8kHz/TIMIT16kHz/TRAIN/DR1/FDML0/SX69.WAV	"[{""start"": 2080, ""end"": 41063}]"
/home/dimme/Documents/Databases/TIMIT16-8kHz/TIMIT16kHz/TRAIN/DR1/FECD0/SA1.WAV	"[{""start"": 2080, ""end"": 67040}]"
/home/dimme/Documents/Databases/TIMIT16-8kHz/TIMIT16kHz/TRAIN/DR1/FECD0/SA2.WAV	"[{""start"": 2080, ""end"": 48845}]"
/home/dimme/Documents/Databases/TIMIT16-8kHz/TIMIT16kHz/TRAIN/DR1/FECD0/SI1418.WAV	"[{""start"": 2592, ""end"": 81376}]"
/home/dimme/Documents/Databases/TIMIT16-8kHz/TIMIT16kHz/TRAIN/DR1/FECD0/SI2048.WAV	"[{""start"": 2080, ""end"": 39392}]"
/home/dimme/Documents/Databases/TIMIT16-8kHz/TIMIT16kHz/TRAIN/DR1/FECD0/SI788.WAV	"[{""start"": 9248, ""end"": 82535}]"
/home/dimme/Documents/Databases/TIMIT16-8kHz/TIMIT16kHz/TRAIN/DR1/FECD0/SX158.WAV	"[{""start"": 2080, ""end"": 37856}]"
/home/dimme/Documents/Databases/TIMIT16-8kHz/TIMIT16kHz/TRAIN/DR1/FECD0/SX248.WAV	"[{""start"": 2080, ""end"": 45024}]"
/home/dimme/Documents/Databases/TIMIT16-8kHz/TIMIT16kHz/TRAIN/DR1/FECD0/SX338.WAV	"[{""start"": 2080, ""end"": 50656}]"
/home/dimme/Documents/Databases/TIMIT16-8kHz/TIMIT16kHz/TRAIN/DR1/FECD0/SX428.WAV	"[{""start"": 2592, ""end"": 58676}]"
/home/dimme/Documents/Databases/TIMIT16-8kHz/TIMIT16kHz/TRAIN/DR1/FECD0/SX68.WAV	"[{""start"": 2080, ""end"": 47207}]"
/home/dimme/Documents/Databases/TIMIT16-8kHz/TIMIT16kHz/TRAIN/DR1/FETB0/SA1.WAV	"[{""start"": 2080, ""end"": 51405}]"
/home/dimme/Documents/Databases/TIMIT16-8kHz/TIMIT16kHz/TRAIN/DR1/FETB0/SA2.WAV	"[{""start"": 1568, ""end"": 43316}]"
/home/dimme/Documents/Databases/TIMIT16-8kHz/TIMIT16kHz/TRAIN/DR1/FETB0/SI1148.WAV	"[{""start"": 2080, ""end"": 41063}]"
